KO	Panpathway
K09815	0
K09816	0
K09817	0
K09822	4
K09823	2
K09857	3
K09861	4
K09888	4
K09889	4
K09903	4
K09913	4
K09915	4
K09919	4
K09921	4
K09922	0
K09926	4
K09928	4
K09930	4
K09931	4
K09933	4
K09934	2
K09941	4
K09950	3
K09951	3
K09959	2
K09966	4
K09983	2
K09989	4
K10001	4
K10002	4
K10003	2
K10004	4
K10012	3
K10016	2
K10025	4
K10026	4
K10125	0
K10126	2
K10218	0
K10563	4
K10680	4
K10716	4
K10747	2
K10763	4
K10764	4
K10773	4
K10800	4
K10804	4
K10806	2
K10914	4
K10942	4
K10943	4
K11004	2
K11065	4
K11068	4
K11069	2
K11070	2
K11071	2
K11072	2
K11074	3
K11085	4
K11103	2
K11175	4
K11209	4
K11250	0
K11264	2
K11312	4
K11381	0
K11472	4
K11473	4
K11529	3
K11688	4
K11689	4
K11690	4
K11711	4
K11712	4
K11719	4
K11720	4
K11745	3
K11746	2
K11749	4
K11751	2
K11752	4
K11753	4
K11754	4
K11894	2
K11900	0
K11901	0
K11927	4
K11936	2
K11942	4
K11959	4
K11960	4
K11961	4
K11962	4
K11963	4
K11991	4
K11996	4
K12056	3
K12057	1
K12058	3
K12060	3
K12061	3
K12063	1
K12067	1
K12068	0
K12070	0
K12071	1
K12072	1
K12132	4
K12140	3
K12141	3
K12262	4
K12339	4
K12340	4
K12410	4
K12452	4
K12536	4
K12537	4
K12538	4
K12541	2
K12542	2
K12543	2
K12573	4
K12960	4
K12973	0
K13012	4
K13017	3
K13018	3
K13020	3
K13038	4
K13288	4
K13292	4
K13529	2
K13590	4
K13626	3
K13628	4
K13634	4
K13635	4
K13643	4
K13651	0
K13655	3
K13766	4
K13771	3
K13819	4
K13821	4
K13924	4
K13926	2
K13953	4
K13979	0
K13993	4
K14058	4
K14126	0
K14155	2
K14161	4
K14162	3
K14170	4
K14260	4
K14261	4
K14267	4
K14287	4
K14393	4
K14414	2
K14415	4
K14441	4
K14446	4
K14447	4
K14448	4
K14449	4
K14470	4
K14471	2
K14472	2
K14475	0
K14534	4
K14540	4
K14652	4
K14682	4
K14742	4
K14998	0
K15011	4
K15012	4
K15034	3
K15268	3
K15270	3
K15342	4
K15371	4
K15539	4
K15576	2
K15633	4
K15634	4
K15724	4
K15725	3
K15726	3
K15738	4
K15777	2
K15778	4
K15790	2
K15864	4
K15866	2
K15977	1
K15987	4
K16011	4
K16092	4
K16137	1
K16147	4
K16165	4
K16171	0
K16264	4
K16692	4
K16872	2
K17103	4
K17218	0
K17686	4
K17713	4
K17716	2
K17836	0
K17865	4
K18005	4
K18006	4
K18007	4
K18138	4
K18139	4
K18480	4
K18700	0
K18778	4
K18828	3
K18843	0
K18923	0
