No	Color
39	None
199	None
201	None
196	None
420	None
195	None
194	None
193	None
198	None
192	None
197	None
191	None
335	None
147	0
252	0
18	0
17	0
106	0
450	0
46	0
387	0
388	0
19	0
442	0
441	0
440	0
439	0
438	0
243	0
241	0
425	0
110	0
365	0
361	0
362	0
363	0
364	0
210	0
264	0
322	0
112	0
111	0
35	0
186	0
165	0
163	0
164	0
162	0
457	0
456	0
455	0
233	0
232	0
234	0
239	0
297	0
298	0
250	0
95	0
251	0
94	0
159	0
160	0
161	0
215	0
383	0
96	0
398	0
303	0
339	0
340	0
214	0
384	0
97	0
399	0
126	0
341	0
209	0
208	0
257	0
70	0
120	0
149	0
150	0
79	0
187	0
256	0
449	0
242	0
240	0
78	0
77	0
255	0
98	0
99	0
37	0
133	0
207	0
434	0
42	0
334	0
333	0
332	0
331	0
330	0
321	0
320	0
448	0
157	0
266	0
267	0
447	0
153	0
391	0
392	0
393	0
394	0
395	0
396	0
151	0
16	0
421	0
130	0
422	0
131	0
217	0
216	0
426	0
427	0
428	0
429	0
74	0
76	0
72	0
75	0
71	0
249	0
15	0
416	0
33	0
108	0
354	0
123	0
261	0
381	0
403	0
90	0
353	0
352	0
351	0
350	0
349	0
348	0
347	0
285	0
284	0
283	0
301	0
300	0
263	0
145	0
146	0
65	0
64	0
63	0
52	0
453	0
452	0
451	0
258	0
259	0
260	0
293	0
417	0
337	0
338	0
336	0
378	0
343	0
375	0
374	0
377	0
376	0
444	0
445	0
141	0
139	0
26	0
27	0
28	0
60	0
62	0
59	0
61	0
228	0
229	0
227	0
225	0
226	0
156	0
213	0
212	0
211	0
206	0
89	0
277	0
158	0
73	0
328	0
327	0
68	0
67	0
66	0
140	0
100	0
101	0
102	0
103	0
189	0
51	0
48	0
356	0
357	0
49	0
50	0
326	0
